Roub;RoubVei;Latro;Furt;HomDol;FurtVei;ExtoMS;Exto;Este;EntTra;EntPosse;Tx_DelCorrup;DelArmMun
514,27;80,12;1,04;2002,89;15,11;179,53;0,12;3,71;134,7;14,79;65,79;1,38;0,44
594,65;83,86;1,03;2431,6;13,47;192,68;0,14;3,32;148,79;17,08;63,68;1,44;2,32
589,1;100,26;1,06;2302,34;12,39;190,72;0,17;4,46;140,38;19,11;63,08;1,5;72,23
578,75;110,05;1,26;2168,73;12,99;177,71;0,19;5,48;167,98;24,46;55,18;1,61;68,57
592,28;135,45;1,33;2083,21;13,16;178,55;0,17;8,24;169,17;26,04;58,82;1,46;64,9
604,38;138,34;1,13;2048,79;14,79;151,85;0,09;7,59;189,94;32,06;59,44;1,18;61,01
570,52;127,32;0,78;1949,79;15,77;153,1;0,07;6,06;155,89;43,06;65,07;1,2;59,45
518,85;116,36;0,58;1755,8;15,04;152,08;0,14;6,23;145,09;57,01;75,07;1,15;54,36
436,92;95,76;0,68;1611,91;15,14;135,78;0,1;5,37;160,33;66,25;91,03;1,2;56,18
405,81;99,07;0,74;1505,84;15,75;132,34;0,22;4,69;162,95;77,31;100,06;2,05;58,19
415,65;108,39;0,82;1472,77;18,1;140,98;0,11;4,42;159,75;83,73;118,69;4,31;64,6
470,33;107,36;1,17;1489,96;17,33;151,23;0,16;3,76;155,05;90,3;136,9;4,43;66,43
549,29;122,71;1,25;1507,48;20,86;168,92;0,33;3,71;153,34;88,13;120,15;2,56;69,22
703,35;161,29;1,25;1404,78;21,6;181,45;0,16;3,45;137,95;79,87;98,83;3,59;66,4
