Mun;CodIBGE;Tx_Roub2002;Tx_Roub2003;Tx_Roub2004;Tx_Roub2005;Tx_Roub2006;Tx_Roub2007;Tx_Roub2008;Tx_Roub2009;Tx_Roub2010;Tx_Roub2011;Tx_Roub2012;Tx_Roub2013;Tx_Roub2014;Tx_Roub2015;Tx_RoubVei2002;Tx_RoubVei2003;Tx_RoubVei2004;Tx_RoubVei2005;Tx_RoubVei2006;Tx_RoubVei2007;Tx_RoubVei2008;Tx_RoubVei2009;Tx_RoubVei2010;Tx_RoubVei2011;Tx_RoubVei2012;Tx_RoubVei2013;Tx_RoubVei2014;Tx_RoubVei2015;Tx_Latro2002;Tx_Latro2003;Tx_Latro2004;Tx_Latro2005;Tx_Latro2006;Tx_Latro2007;Tx_Latro2008;Tx_Latro2009;Tx_Latro2010;Tx_Latro2011;Tx_Latro2012;Tx_Latro2013;Tx_Latro2014;Tx_Latro2015;Tx_Furt2002;Tx_Furt2003;Tx_Furt2004;Tx_Furt2005;Tx_Furt2006;Tx_Furt2007;Tx_Furt2008;Tx_Furt2009;Tx_Furt2010;Tx_Furt2011;Tx_Furt2012;Tx_Furt2013;Tx_Furt2014;Tx_Furt2015;Tx_HomDol2002;Tx_HomDol2003;Tx_HomDol2004;Tx_HomDol2005;Tx_HomDol2006;Tx_HomDol2007;Tx_HomDol2008;Tx_HomDol2009;Tx_HomDol2010;Tx_HomDol2011;Tx_HomDol2012;Tx_HomDol2013;Tx_HomDol2014;Tx_HomDol2015;Tx_FurtVei2002;Tx_FurtVei2003;Tx_FurtVei2004;Tx_FurtVei2005;Tx_FurtVei2006;Tx_FurtVei2007;Tx_FurtVei2008;Tx_FurtVei2009;Tx_FurtVei2010;Tx_FurtVei2011;Tx_FurtVei2012;Tx_FurtVei2013;Tx_FurtVei2014;Tx_FurtVei2015;Tx_ExtoMS2002;Tx_ExtoMS2003;Tx_ExtoMS2004;Tx_ExtoMS2005;Tx_ExtoMS2006;Tx_ExtoMS2007;Tx_ExtoMS2008;Tx_ExtoMS2009;Tx_ExtoMS2010;Tx_ExtoMS2011;Tx_ExtoMS2012;Tx_ExtoMS2013;Tx_ExtoMS2014;Tx_ExtoMS2015;Tx_Exto2002;Tx_Exto2003;Tx_Exto2004;Tx_Exto2005;Tx_Exto2006;Tx_Exto2007;Tx_Exto2008;Tx_Exto2009;Tx_Exto2010;Tx_Exto2011;Tx_Exto2012;Tx_Exto2013;Tx_Exto2014;Tx_Exto2015;Tx_Este2002;Tx_Este2003;Tx_Este2004;Tx_Este2005;Tx_Este2006;Tx_Este2007;Tx_Este2008;Tx_Este2009;Tx_Este2010;Tx_Este2011;Tx_Este2012;Tx_Este2013;Tx_Este2014;Tx_Este2015;Tx_EntTra2002;Tx_EntTra2003;Tx_EntTra2004;Tx_EntTra2005;Tx_EntTra2006;Tx_EntTra2007;Tx_EntTra2008;Tx_EntTra2009;Tx_EntTra2010;Tx_EntTra2011;Tx_EntTra2012;Tx_EntTra2013;Tx_EntTra2014;Tx_EntTra2015;Tx_EntPosse2002;Tx_EntPosse2003;Tx_EntPosse2004;Tx_EntPosse2005;Tx_EntPosse2006;Tx_EntPosse2007;Tx_EntPosse2008;Tx_EntPosse2009;Tx_EntPosse2010;Tx_EntPosse2011;Tx_EntPosse2012;Tx_EntPosse2013;Tx_EntPosse2014;Tx_EntPosse2015;Tx_DelCorrup2002;Tx_DelCorrup2003;Tx_DelCorrup2004;Tx_DelCorrup2005;Tx_DelCorrup2006;Tx_DelCorrup2007;Tx_DelCorrup2008;Tx_DelCorrup2009;Tx_DelCorrup2010;Tx_DelCorrup2011;Tx_DelCorrup2012;Tx_DelCorrup2013;Tx_DelCorrup2014;Tx_DelCorrup2015;Tx_DelArmMun2002;Tx_DelArmMun2003;Tx_DelArmMun2004;Tx_DelArmMun2005;Tx_DelArmMun2006;Tx_DelArmMun2007;Tx_DelArmMun2008;Tx_DelArmMun2009;Tx_DelArmMun2010;Tx_DelArmMun2011;Tx_DelArmMun2012;Tx_DelArmMun2013;Tx_DelArmMun2014;Tx_DelArmMun2015
Aceguá;4300034;0;47,59638267;23,39181287;69,02899218;22,81021898;67,55235307;44,62293619;88,47600088;0;0;0;0;21,9731927;21,68726957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,31146809;0;0;0;0;0;0;0;120,715;1118,515;1426,901;1472,618;958,029;1621,256;1606,426;1570,449;1247,811;1342,134;1228,448;1319,49;1406,284;1171,113;0;0;23,392;0;0;0;0;0;0;22,002;0;21,631;0;0;0;23,798;23,392;23,01;0;0;0;0;21,891;0;0;0;21,973;43,375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,392;23,01;250,912;45,035;89,246;44,238;0;22,002;21,552;64,893;21,973;21,687;0;0;0;0;0;0;0;22,119;0;22,002;0;0;0;0;0;0;0;23,01;0;22,517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,039;45,62;112,587;66,934;0;131,349;44,004;86,207;0;43,946;0
Água Santa;4300059;0;26,21231979;26,2605042;26,42007926;0;26,46202699;106,3264221;53,27650506;26,65245203;27,10761724;0;26,14379085;51,41388175;181,3941436;0;0;0;0;0;0;106,3264221;79,91475759;26,65245203;27,10761724;0;0;25,70694087;25,91344908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314,136;1127,13;866,597;951,123;869,336;555,703;824,03;1251,998;746,269;1246,95;1209,253;1124,183;951,157;1062,451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52,356;26,212;52,521;52,84;105,374;26,462;0;26,638;26,652;81,323;0;104,575;51,414;129,567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,178;104,849;26,261;52,84;0;79,386;79,745;26,638;53,305;27,108;52,576;26,144;25,707;51,827;0;0;0;0;26,344;0;0;0;0;0;0;0;51,414;0;0;0;0;0;0;26,462;26,582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,261;52,84;26,344;0;132,908;53,277;159,915;0;52,576;0;154,242;51,827
Agudo;4300109;22,74665908;17,07747481;108,3485401;74,22209535;80,17409231;80,44590013;34,57615398;28,93183659;23,27340432;35,11235955;64,80499588;46,93733865;70,663055;52,89761373;5,686664771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,702554745;0;5,72672088;0;0;0;0;0;5,891363261;0;0;0;926,926;1235,271;1186,131;1347,417;1030,81;1154,973;1077,623;891,101;1099,668;1117,743;860,139;786,2;1036,391;946,28;5,687;0;17,108;17,128;0;11,492;0;0;0;0;11,783;0;11,777;0;39,807;28,462;34,215;28,547;11,453;28,731;34,576;52,077;40,728;29,26;29,457;17,602;0;64,653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,703;5,709;0;5,746;0;0;11,637;5,852;0;29,336;0;0;79,613;96,772;136,861;159,863;143,168;126,415;69,152;57,864;81,457;140,449;94,262;35,203;94,217;47,02;0;5,692;5,703;0;0;5,746;17,288;5,786;5,818;5,852;11,783;29,336;5,889;17,633;0;0;28,513;5,709;0;5,746;17,288;34,718;0;0;11,783;17,602;23,554;35,265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74,133;79,931;34,36;28,731;5,763;11,573;11,637;40,964;53,022;41,07;47,109;41,143
Ajuricaba;4300208;0;38,8852884;26,04845012;26,08922515;26,15746796;0;39,7508944;26,64535039;0;0;39,798355;0;0;13,68550705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1009,709;1205,444;1041,938;900,078;771,645;829,602;755,267;945,91;681,363;538,977;756,169;660,677;667,539;561,106;0;0;0;0;0;0;0;0;13,36;0;0;13,214;0;0;25,89;0;13,024;91,312;65,394;52,673;13,25;53,291;26,72;39,437;53,064;0;39,267;13,686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52,673;0;26,645;26,72;0;0;13,214;0;0;129,45;142,579;26,048;78,268;117,709;65,841;79,502;159,872;53,44;170,895;92,863;52,854;52,356;54,742;12,945;0;0;0;0;26,337;0;0;13,36;0;0;0;0;0;0;0;0;0;0;13,168;13,25;13,323;26,72;26,292;26,532;26,427;0;13,686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,073;26,089;104,63;13,168;26,501;39,968;66,8;26,292;66,331;39,641;26,178;13,686
Alecrim;4300307;11,99184555;0;12,38696891;75,63342998;0;0;13,29610424;27,15915263;13,84657989;28,20476661;28,10962755;0;43,96248535;15,167602;0;0;0;0;0;13,05994515;0;0;0;0;0;0;0;15,167602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539,633;500,061;743,218;1058,868;1102,705;783,597;957,32;1208,582;816,948;1085,884;829,234;955,829;1318,875;1365,084;0;12,197;12,387;0;0;13,06;0;13,58;0;14,102;0;28,965;0;0;0;0;0;12,606;12,822;13,06;0;13,58;0;98,717;0;0;29,308;15,168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,12;13,296;0;0;14,102;0;14,482;0;0;0;12,197;0;63,028;25,644;78,36;93,073;54,318;41,54;56,41;28,11;57,929;29,308;30,335;0;0;0;0;0;13,06;26,592;13,58;27,693;56,41;28,11;28,965;0;0;0;0;0;0;0;0;26,592;13,58;0;14,102;42,164;28,965;0;30,335;0;0;0;12,606;0;0;0;0;0;0;0;0;0;0;0;0;86,709;189,084;115,399;52,24;132,961;95,057;124,619;70,512;42,164;57,929;117,233;75,838
Alegrete;4300406;264,6534104;280,9854646;386,0129862;338,0038595;301,5936207;398,2080637;249,5870802;202,1098294;177,7192285;129,1098938;133,925155;116,5829661;132,1979859;142,4649018;7,088930635;4,742370711;4,765592423;5,992976232;13,27011931;6,070244874;6,117330397;7,394262053;1,242791808;1,253494115;0;3,843394486;1,296058686;0;0;0;3,574194317;0;2,412748966;0;0;0;0;1,253494115;1,275477666;0;5,184234742;0;2171,576;2360,515;2183,833;2060,385;2055,662;1842,926;1678,595;1584,837;1405,598;1301,127;1098,186;1122,271;1162,565;920,841;23,63;14,227;7,148;17,979;12,064;13,355;7,341;3,697;4,971;11,281;10,204;15,374;7,776;9,066;53,167;47,424;26,211;22,773;36,191;31,565;30,587;19,718;26,099;31,337;15,306;23,06;19,441;32,378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,181;2,371;8,34;3,596;14,476;2,428;6,117;3,697;1,243;5,014;0;0;7,776;0;90,975;105,518;114,374;142,633;114,606;49,776;85,643;73,943;89,481;76,463;132,65;125,551;84,244;76,413;7,089;8,299;14,297;8,39;12,064;18,211;31,81;48,063;54,683;60,168;66,325;78,149;141,27;82,889;133,508;71,136;54,804;80,306;84,446;94,696;79,525;57,922;47,226;80,224;100,763;115,302;234,587;147,645;0;0;0;1,199;0;0;1,223;0;0;1,253;5,102;5,125;0;6,476;0;2,371;91,738;104,278;109,78;114,121;85,643;60,386;57,168;71,449;65,049;75,587;58,323;60,871
Alegria;4300455;38,16065636;38,7897595;0;40,29008864;61,8556701;63,07821699;0;0;45,52697473;46,46840149;0;23,65744026;24,47381302;24,75860361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400,687;698,216;1244,322;1208,703;1195,876;735,913;734,817;951,959;1343,046;929,368;943,619;969,955;881,057;1064,62;19,08;19,395;19,751;20,145;0;21,026;0;22,139;45,527;0;0;0;0;0;0;38,79;19,751;0;20,619;0;0;0;22,763;69,703;0;0;24,474;24,759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,08;38,79;79,005;0;20,619;63,078;0;22,139;68,29;46,468;70,771;118,287;24,474;49,517;0;0;0;0;0;0;0;0;0;0;0;23,657;24,474;24,759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,234;0;23,657;0;0;0;0;217,262;161,16;82,474;84,104;64,837;66,416;22,763;92,937;330,267;141,945;24,474;0
Almirante Tamandaré do Sul;4300471;0;45,33091568;413,0335016;0;46,62004662;93,6329588;0;0;96,71179884;102,8806584;0;0;104,3841336;97,65625;0;0;0;0;0;0;47,05882353;47,39336493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;766,802;362,647;504,819;1295,696;1351,981;1310,861;1035,294;568,72;773,694;823,045;846,113;964,467;730,689;732,422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93,24;93,633;0;47,393;48,356;0;105,764;50,761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,62;0;47,059;47,393;48,356;51,44;52,882;0;52,192;146,484;0;0;0;0;0;0;0;0;0;0;0;0;0;48,828;0;0;0;0;0;0;47,059;0;0;0;0;0;52,192;48,828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,785;0;0;0;0;47,393;48,356;154,321;158,646;101,523;0;48,828
Alpestre;4300505;109,9890011;71,39214686;31,22398002;74,24692406;10,82251082;66,62225183;22,77904328;35,14938489;12,05836247;49,34007648;37,85011355;0;53,96654074;26,82403433;0;10,19887812;0;10,60670344;0;0;0;0;0;0;0;0;0;26,82403433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869,913;1142,274;582,848;859,143;551,948;755,052;933,941;867,018;916,436;715,431;921,019;1192,661;1254,722;1099,785;9,999;0;0;21,213;43,29;11,104;45,558;0;60,292;0;63,084;13,106;26,983;0;9,999;20,398;10,408;0;10,823;33,311;0;46,866;0;0;37,85;13,106;80,95;120,708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,716;0;0;0;0;0;0;0;81,591;10,408;53,034;21,645;44,415;102,506;23,433;24,117;12,335;0;52,425;26,983;0;0;0;0;0;0;0;11,39;0;0;12,335;12,617;0;0;26,824;0;0;0;0;10,823;0;0;0;0;24,67;0;0;13,492;13,412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270,608;180,314;205,628;77,726;148,064;140,598;48,233;123,35;176,634;157,274;188,883;67,06
Alto Alegre;4300554;47,61904762;144,9275362;49,16420846;0;0;0;0;0;0;55,8347292;0;55,21811154;55,0660793;55,77244841;0;0;0;0;0;51,38746146;0;0;0;0;0;110,4362231;0;55,77244841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190,476;628,019;786,627;1144,848;656,234;411,1;731,07;106,101;605,061;614,182;441,501;386,527;330,396;501,952;0;0;0;0;50,48;0;0;0;0;0;0;0;0;0;95,238;48,309;0;0;0;0;0;0;0;167,504;0;165,654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50,48;51,387;0;0;55,006;55,835;0;0;0;55,772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196,657;99,552;0;0;208,877;0;0;0;110,375;0;55,066;0
