Mes;Ano;TxDesemprego;Data
6;1992;14,8;jun-92
7;1992;14,5;jul-92
8;1992;14,0;ago-92
9;1992;14,3;set-92
10;1992;14,5;out-92
11;1992;14,5;nov-92
12;1992;13,2;dez-92
1;1993;12,7;jan-93
2;1993;12,6;fev-93
3;1993;13,2;mar-93
4;1993;13,3;abr-93
5;1993;12,9;mai-93
6;1993;12,6;jun-93
7;1993;12,3;jul-93
8;1993;12,3;ago-93
9;1993;12,2;set-93
10;1993;11,9;out-93
11;1993;11,2;nov-93
12;1993;10,7;dez-93
1;1994;9,9;jan-94
2;1994;10,4;fev-94
3;1994;10,9;mar-94
4;1994;11,7;abr-94
5;1994;12,2;mai-94
6;1994;12,6;jun-94
7;1994;12,9;jul-94
8;1994;12,2;ago-94
9;1994;11,1;set-94
10;1994;10,8;out-94
11;1994;11,0;nov-94
12;1994;10,4;dez-94
1;1995;9,7;jan-95
2;1995;9,1;fev-95
3;1995;9,7;mar-95
4;1995;9,8;abr-95
5;1995;9,9;mai-95
6;1995;10,1;jun-95
7;1995;10,7;jul-95
8;1995;11,4;ago-95
9;1995;12,2;set-95
10;1995;12,5;out-95
11;1995;12,2;nov-95
12;1995;10,9;dez-95
1;1996;10,8;jan-96
2;1996;11,3;fev-96
3;1996;13,1;mar-96
4;1996;13,8;abr-96
5;1996;14,2;mai-96
6;1996;14,3;jun-96
7;1996;13,6;jul-96
8;1996;13,0;ago-96
9;1996;12,9;set-96
10;1996;13,1;out-96
11;1996;12,7;nov-96
12;1996;12,1;dez-96
1;1997;12,2;jan-97
2;1997;12,8;fev-97
3;1997;13,5;mar-97
4;1997;14,1;abr-97
5;1997;14,1;mai-97
6;1997;14,2;jun-97
7;1997;14,2;jul-97
8;1997;14,2;ago-97
9;1997;13,1;set-97
10;1997;12,6;out-97
11;1997;12,3;nov-97
12;1997;13,0;dez-97
1;1998;13,0;jan-98
2;1998;13,7;fev-98
3;1998;14,5;mar-98
4;1998;15,4;abr-98
5;1998;15,7;mai-98
6;1998;15,4;jun-98
7;1998;15,5;jul-98
8;1998;15,5;ago-98
9;1998;15,9;set-98
10;1998;16,9;out-98
11;1998;17,7;nov-98
12;1998;17,3;dez-98
1;1999;17,2;jan-99
2;1999;17,2;fev-99
3;1999;18,6;mar-99
4;1999;19,2;abr-99
5;1999;19,3;mai-99
6;1999;19,5;jun-99
7;1999;19,4;jul-99
8;1999;19,6;ago-99
9;1999;19,6;set-99
10;1999;19,7;out-99
11;1999;19,4;nov-99
12;1999;18,1;dez-99
1;2000;16,7;jan-00
2;2000;16,8;fev-00
3;2000;17,7;mar-00
4;2000;18,8;abr-00
5;2000;18,4;mai-00
6;2000;17,8;jun-00
7;2000;16,8;jul-00
8;2000;16,5;ago-00
9;2000;16,2;set-00
10;2000;16,3;out-00
11;2000;15,9;nov-00
12;2000;15,0;dez-00
1;2001;14,4;jan-01
2;2001;14,7;fev-01
3;2001;15,4;mar-01
4;2001;15,6;abr-01
5;2001;15,4;mai-01
6;2001;15,0;jun-01
7;2001;14,6;jul-01
8;2001;14,3;ago-01
9;2001;14,5;set-01
10;2001;15,3;out-01
11;2001;15,1;nov-01
12;2001;14,8;dez-01
1;2002;14,5;jan-02
2;2002;15,0;fev-02
3;2002;15,8;mar-02
4;2002;15,7;abr-02
5;2002;16,0;mai-02
6;2002;15,9;jun-02
7;2002;15,9;jul-02
8;2002;15,4;ago-02
9;2002;15,5;set-02
10;2002;15,1;out-02
11;2002;14,8;nov-02
12;2002;14,2;dez-02
1;2003;14,3;jan-03
2;2003;14,8;fev-03
3;2003;15,3;mar-03
4;2003;16,3;abr-03
5;2003;16,6;mai-03
6;2003;17,6;jun-03
7;2003;17,7;jul-03
8;2003;17,8;ago-03
9;2003;17,8;set-03
10;2003;17,7;out-03
11;2003;17,3;nov-03
12;2003;15,9;dez-03
1;2004;15,3;jan-04
2;2004;15,8;fev-04
3;2004;17,2;mar-04
4;2004;17,7;abr-04
5;2004;17,2;mai-04
6;2004;16,8;jun-04
7;2004;16,3;jul-04
8;2004;15,9;ago-04
9;2004;15,1;set-04
10;2004;14,8;out-04
11;2004;14,5;nov-04
12;2004;14,4;dez-04
1;2005;14,3;jan-05
2;2005;14,3;fev-05
3;2005;14,5;mar-05
4;2005;14,7;abr-05
5;2005;14,9;mai-05
6;2005;15,0;jun-05
7;2005;14,5;jul-05
8;2005;14,7;ago-05
9;2005;14,8;set-05
10;2005;14,8;out-05
11;2005;14,6;nov-05
12;2005;13,7;dez-05
1;2006;13,2;jan-06
2;2006;13,6;fev-06
3;2006;14,9;mar-06
4;2006;15,5;abr-06
5;2006;15,4;mai-06
6;2006;15,0;jun-06
7;2006;14,9;jul-06
8;2006;14,6;ago-06
9;2006;14,3;set-06
10;2006;14,2;out-06
11;2006;13,7;nov-06
12;2006;12,9;dez-06
1;2007;12,2;jan-07
2;2007;12,3;fev-07
3;2007;12,9;mar-07
4;2007;13,6;abr-07
5;2007;14,1;mai-07
6;2007;14,4;jun-07
7;2007;13,8;jul-07
8;2007;13,4;ago-07
9;2007;12,8;set-07
10;2007;12,4;out-07
11;2007;11,9;nov-07
12;2007;11,3;dez-07
1;2008;11,2;jan-08
2;2008;11,3;fev-08
3;2008;11,7;mar-08
4;2008;12,0;abr-08
5;2008;12,2;mai-08
6;2008;11,9;jun-08
7;2008;11,9;jul-08
8;2008;11,3;ago-08
9;2008;11,2;set-08
10;2008;10,6;out-08
11;2008;10,2;nov-08
12;2008;9,8;dez-08
1;2009;10,0;jan-09
2;2009;10,4;fev-09
3;2009;11,7;mar-09
4;2009;12,1;abr-09
5;2009;12,6;mai-09
6;2009;12,0;jun-09
7;2009;12,0;jul-09
8;2009;11,6;ago-09
9;2009;11,3;set-09
10;2009;10,4;out-09
11;2009;10,0;nov-09
12;2009;9,4;dez-09
1;2010;9,7;jan-10
2;2010;9,6;fev-10
3;2010;9,8;mar-10
4;2010;9,6;abr-10
5;2010;9,6;mai-10
6;2010;9,5;jun-10
7;2010;8,9;jul-10
8;2010;8,7;ago-10
9;2010;8,5;set-10
10;2010;8,2;out-10
11;2010;7,7;nov-10
12;2010;7,2;dez-10
1;2011;7,3;jan-11
2;2011;7,3;fev-11
3;2011;7,4;mar-11
4;2011;7,4;abr-11
5;2011;7,7;mai-11
6;2011;7,8;jun-11
7;2011;8,0;jul-11
8;2011;7,7;ago-11
9;2011;7,7;set-11
10;2011;7,1;out-11
11;2011;7,0;nov-11
12;2011;6,4;dez-11
